bottom_themes,cross_sectional_spearman,d1_role,evidence_lane,horizon,long_short_spread,negative_leg_count,negative_leg_return,portfolio,positive_leg_count,positive_leg_return,signal_date,theme_count,top_themes
solar_energy,0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.020000012715657434,1,0.020000012715657434,top1_bottom1,0,0.0,2012-01-20,4,
solar_energy|semiconductors,0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.006883311378158452,2,0.006883311378158452,top2_bottom2,0,0.0,2012-01-20,4,
solar_energy|semiconductors,0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.006883311378158452,2,0.006883311378158452,top_half_bottom_half,0,0.0,2012-01-20,4,
solar_energy,-0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.0566666920979817,1,-0.0566666920979817,top1_bottom1,0,0.0,2012-01-20,4,
solar_energy|semiconductors,-0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.029372225503986216,2,-0.029372225503986216,top2_bottom2,0,0.0,2012-01-20,4,
solar_energy|semiconductors,-0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.029372225503986216,2,-0.029372225503986216,top_half_bottom_half,0,0.0,2012-01-20,4,
solar_energy,-1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.03424657444766899,1,-0.03424657444766899,top1_bottom1,0,0.0,2012-01-23,4,
solar_energy|cloud_computing,-1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.028738638381551773,2,-0.028738638381551773,top2_bottom2,0,0.0,2012-01-23,4,
solar_energy|cloud_computing,-1.0,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.028738638381551773,2,-0.028738638381551773,top_half_bottom_half,0,0.0,2012-01-23,4,
solar_energy,-0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.061643807877741486,1,-0.061643807877741486,top1_bottom1,0,0.0,2012-01-23,4,
solar_energy|cloud_computing,-0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.04432811662977687,2,-0.04432811662977687,top2_bottom2,0,0.0,2012-01-23,4,
solar_energy|cloud_computing,-0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.04432811662977687,2,-0.04432811662977687,top_half_bottom_half,0,0.0,2012-01-23,4,
solar_energy,-0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.07457629704879509,1,-0.07457629704879509,top1_bottom1,0,0.0,2012-01-24,4,
solar_energy|cloud_computing,-0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.04713902494496858,2,-0.04713902494496858,top2_bottom2,0,0.0,2012-01-24,4,
solar_energy|cloud_computing,-0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.04713902494496858,2,-0.04713902494496858,top_half_bottom_half,0,0.0,2012-01-24,4,
solar_energy,-0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.02711861820544237,1,-0.02711861820544237,top1_bottom1,0,0.0,2012-01-24,4,
solar_energy|cloud_computing,-0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.018617845305121117,2,-0.018617845305121117,top2_bottom2,0,0.0,2012-01-24,4,
solar_energy|cloud_computing,-0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.018617845305121117,2,-0.018617845305121117,top_half_bottom_half,0,0.0,2012-01-24,4,
solar_energy,-0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.0402684830087876,1,-0.0402684830087876,top1_bottom1,0,0.0,2012-01-25,4,
solar_energy|semiconductors,-0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.013512688105311033,2,-0.013512688105311033,top2_bottom2,0,0.0,2012-01-25,4,
solar_energy|semiconductors,-0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.013512688105311033,2,-0.013512688105311033,top_half_bottom_half,0,0.0,2012-01-25,4,
solar_energy,-0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.0402684830087876,1,-0.0402684830087876,top1_bottom1,0,0.0,2012-01-25,4,
solar_energy|semiconductors,-0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.021458552184210333,2,-0.021458552184210333,top2_bottom2,0,0.0,2012-01-25,4,
solar_energy|semiconductors,-0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.021458552184210333,2,-0.021458552184210333,top_half_bottom_half,0,0.0,2012-01-25,4,
uranium_nuclear,-0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.012548242940984222,1,-0.012548242940984222,top1_bottom1,0,0.0,2012-01-26,4,
uranium_nuclear|semiconductors,-0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.005083674744444822,2,-0.005083674744444822,top2_bottom2,0,0.0,2012-01-26,4,
uranium_nuclear|semiconductors,-0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.005083674744444822,2,-0.005083674744444822,top_half_bottom_half,0,0.0,2012-01-26,4,
uranium_nuclear,0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.0019304847519197033,1,-0.0019304847519197033,top1_bottom1,0,0.0,2012-01-26,4,
uranium_nuclear|semiconductors,0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.008108149797567243,2,-0.008108149797567243,top2_bottom2,0,0.0,2012-01-26,4,
uranium_nuclear|semiconductors,0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.008108149797567243,2,-0.008108149797567243,top_half_bottom_half,0,0.0,2012-01-26,4,
semiconductors,-0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.016711471242633946,1,-0.016711471242633946,top1_bottom1,0,0.0,2012-01-27,4,
semiconductors|uranium_nuclear,-0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.00690925296586592,2,-0.00690925296586592,top2_bottom2,0,0.0,2012-01-27,4,
semiconductors|uranium_nuclear,-0.4,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,-0.00690925296586592,2,-0.00690925296586592,top_half_bottom_half,0,0.0,2012-01-27,4,
semiconductors,0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.03312446033870087,1,-0.03312446033870087,top1_bottom1,0,0.0,2012-01-27,4,
semiconductors|uranium_nuclear,0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.02090164748079204,2,-0.02090164748079204,top2_bottom2,0,0.0,2012-01-27,4,
semiconductors|uranium_nuclear,0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,-0.02090164748079204,2,-0.02090164748079204,top_half_bottom_half,0,0.0,2012-01-27,4,
uranium_nuclear,0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.01048617511618466,1,0.01048617511618466,top1_bottom1,0,0.0,2012-01-30,4,
uranium_nuclear|semiconductors,0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.0019943985926841323,2,0.0019943985926841323,top2_bottom2,0,0.0,2012-01-30,4,
uranium_nuclear|semiconductors,0.8,veto_only_not_standalone_signal,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.0019943985926841323,2,0.0019943985926841323,top_half_bottom_half,0,0.0,2012-01-30,4,
